YAL001C	YMR192W
YDL181W	YDL130W-A
YKL065C	YMR040W
YJL129C	YKR050W
YLL010C	YLR019W
YER059W	YIL050W
YDR505C	YLR177W
YBL089W	YER119C
YEL022W	YJR031C
YHR117W	YNL121C
YDR263C	YOR033C
YDR222W	YLR225C
YML111W	YMR275C
YIL085C	YNL029C
YIL105C	YNL047C
YHR030C	YKL161C
YCR073C	YNR031C
YDL019C	YAR042W
YBR183W	YPL087W
YGL049C	YGR162W
YNL298W	YOL113W
YBR078W	YDR055W
YEL060C	YOR003W
YJL079C	YKR013W
YLL012W	YLR020C
YNL087W	YOR086C
YDR077W	YER150W
YBR210W	YGL054C
YLR260W	YOR171C
YHR123W	YNL130C
YDR185C	YLR168C
YGR180C	YJL026W
YML100W	YMR261C
YBR052C	YDR032C
YCR034W	YJL196C
YBL106C	YPR032W
YIR037W	YKL026C
YJL160C	YKL164C
YDR304C	YHR057C
YMR207C	YNR016C
YCR091W	YNR047W
YDR122W	YLR096W
YMR243C	YOR316C
YCR094W	YNR048W
YHR132W-A	YNL157W
YNL299W	YOL115W
YBR177C	YPL095C
YFR014C	YOL016C
YAL017W	YOL045W
YGL084C	YPL189W
YDL194W	YDL138W
YJR130C	YML082W
YGR131W	YPR149W
YEL006W	YIL006W
YDR441C	YML022W
YDL085W	YMR145C
YML116W	YMR279C
YNL093W	YOR089C
YNL098C	YOR101W
YGR141W	YPR157W
YBR024W	YBR037C
YMR237W	YOR299W
YDR341C	YHR091C
YGR108W	YPR119W
YGR169C-A	YJR005C-A
YNL108C	YOR110W
YBR147W	YOL092W
YDR436W	YML016C
YDR272W	YOR040W
YMR199W	YPL256C
YAR002C-A	YGL002W
YFL004W	YPL019C
YDR277C	YOR047C
YCL050C	YDR530C
YDL036C	YOL066C
YOR231W	YPL140C
YKL104C	YMR084W
YNL106C	YOR109W
YBR121C	YPR081C
YHR115C	YNL116W
YLR450W	YML075C
YBR214W	YGL056C
YLR449W	YML074C
YDL042C	YOL068C
YMR246W	YOR317W
YNL095C	YOR092W
YMR008C	YOL011W
YDR111C	YLR089C
YOR222W	YPL134C
YJL139C	YKR061W
YBL056W	YER089C
YDL012C	YBR016W
YGR279C	YMR305C
YDL079C	YMR139W
YIL109C	YNL049C
YKL091C	YMR079W
YBR242W	YGL101W
YNL052W	YIL111W
YGL089C	YPL187W
YFR024C-A	YHR016C
YDR300C	YHR033W
YEL047C	YJR051W
YCL025C	YDR508C
YDL161W	YLR206W
YHR135C	YNL154C
YJL116C	YKR042W
YPL273W	YLL062C
YNL270C	YEL063C
YGR136W	YPR154W
YGL139W	YPL221W
YLR433C	YML057W
YAL023C	YOR321W
YLR300W	YOR190W
YDL021W	YOL056W
YCL035C	YDR513W
YJR066W	YKL203C
YDR098C	YER174C
YKL126W	YMR104C
YBR161W	YPL057C
YBL069W	YER101C
YJL082W	YKR018C
YCR037C	YJL198W
YDR368W	YOR120W
YBR104W	YPR058W
YLR270W	YOR173W
YER067W	YIL057C
YOR237W	YPL145C
YBR054W	YDR033W
YIL123W	YNL066W
YOR016C	YAL007C
YIL138C	YNL079C
YGR008C	YLR327C
YHL003C	YKL008C
YGR038W	YLR350W
YOR204W	YPL119C
YGR043C	YLR354C
YDR093W	YER166W
YGR143W	YPR159W
YBR117C	YPR074C
YCL040W	YDR516C
YJL164C	YKL166C
YJL133W	YKR052C
YGR243W	YHR162W
YLL061W	YPL274W
YHR047C	YKL157W
YAL038W	YOR347C
YBR068C	YDR046C
YHR001W	YKR003W
YCR073W-A	YNR034W
YML106W	YMR271C
YDL022W	YOL059W
YDR107C	YLR083C
YER057C	YIL051C
YJR148W	YHR208W
YAL030W	YOR327C
YGR010W	YLR328W
YLR174W	YNL009W
YBR020W	YDR009W
YKL129C	YMR109W
YGR121C	YPR138C
YOR153W	YDR406W
YOR226C	YPL135W
YBR169C	YPL106C
YGR092W	YPR111W
YMR183C	YPL232W
YCR010C	YNR002C
YBR001C	YDR001C
YER039C	YGL225W
YGR209C	YLR043C
YJL159W	YKL163W
YDR497C	YOL103W
YCR005C	YNR001C
YKL127W	YMR105C
YBL039C	YJR103W
YFR053C	YGL253W
YER031C	YGL210W
YFR015C	YLR258W
YEL030W	YJR045C
YER070W	YIL066C
YNL104C	YOR108W
YLR028C	YMR120C
YLR249W	YNL014W
YDR353W	YHR106W
YJL045W	YKL148C
YEL039C	YJR048W
YFL034C-A	YLR061W
YAL062W	YOR375C
YDR453C	YML028W
YGR124W	YPR145W
YBR089C-A	YPR052C
YML056C	YLR432W
YGR032W	YLR342W
YBL075C	YER103W
YBL068W	YER099C
YNL096C	YOR096W
YGR138C	YPR156C
YBL030C	YBR085W
YGR256W	YHR183W
YDL182W	YDL131W
YER081W	YIL074C
YDL188C	YDL134C
YML124C	YML085C
YIL133C	YNL069C
YDR502C	YLR180W
YBR218C	YGL062W
YDR500C	YLR185W
YER062C	YIL053W
YEL034W	YJR047C
YBR082C	YDR059C
YDR099W	YER177W
YCR024C-A	YEL017C-A
YDL061C	YLR388W
YGR214W	YLR048W
YDR312W	YHR066W
YLR448W	YML073C
YGR034W	YLR344W
YGR254W	YHR174W
YLR264W	YOR167C
YGR192C	YJR009C
YDL137W	YDL192W
YGL031C	YGR148C
YLR441C	YML063W
YMR194W	YPL249C-A
YBR189W	YPL081W
YMR230W	YOR293W
YHL033C	YLL045C
YLR293C	YOR185C
YMR242C	YOR312C
YDL075W	YLR406C
YHR021C	YKL156W
YMR186W	YPL240C
YJL136C	YKR057W
YDR471W	YHR010W
YGR027C	YLR333C
YGL076C	YPL198W
YER131W	YGL189C
YER056C-A	YIL052C
YBR191W	YPL079W
YDL082W	YMR142C
YDR447C	YML024W
YCR031C	YJL191W
YKR105C	YCL069W
YGR085C	YPR102C
YJR094W-A	YPR043W
YJL177W	YKL180W
YOR234C	YPL143W
YFL060C	YNL334C
YLR029C	YMR121C
YDL229W	YNL209W
YHL001W	YKL006W
YNL302C	YOL121C
YCL073C	YKR106W
YFL059W	YNL333W
YBR031W	YDR012W
YDR385W	YOR133W
YBR181C	YPL090C
YBL087C	YER117W
YBR118W	YPR080W
YBL072C	YER102W
YLR287C-A	YOR182C
YGR118W	YPR132W
YHR203C	YJR145C
YDL083C	YMR143W
YBL027W	YBR084C-A
YGL135W	YPL220W
YHR141C	YNL162W
YIL148W	YKR094C
YJL138C	YKR059W
YNL301C	YOL120C
YER074W	YIL069C
YBR048W	YDR025W
YDR450W	YML026C
YDL191W	YDL136W
YDR418W	YEL054C
YFR031C-A	YIL018W
